SMILES,source_file
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC1(c2nn(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])nc2[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])C([H])([H])C([H])([H])[H])c3[H])c([H])c2[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])[C@@]([H])(OC([H])([H])C3([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nnn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(C([H])([H])[H])C([H])([H])[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])Oc2c([H])c([H])c(F)c([H])c2[H])nc1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],trainingset_covalent_smiles.csv
