PubChemID,Type,SMILES,covalent
9806458,Misc,CC1CC(OC1C(C)C(=O)C(C)C=C(C)C=CCC(C)C=C(C)C=CC2C(C=CC(=O)O2)C)(C)CCO,1
44145026,Misc,CC(CC=CC(=CC(C)C(=O)C(C)C(C(C)CC(=CCO)C)O)C)C=C(C)CCC1CC=CC(=O)O1,1
196645,Misc,CC(CC=CC(=CC(C)C(=O)C(C)C(C(C)CC(=CC(=O)O)C)O)C)C=C(C)C=CC1CC=CC(=O)O1,1
6610292,Misc,CC1C(C(NC1=O)(C(C(C)C)O)C(=O)SCC(C(=O)O)NC(=O)C)O,1
15011073,Misc,CC(=O)OC1CC2CC3(C1C4(C(CC(C(C4C(=O)C3OC(=O)C)(C)C)O)OC(=O)C)C)C(=O)C2=C,1
16127556,Misc,CCCCCCC=CCC(=O)NC(CO)C(=O)NC(C(C)C)C(=O)NC(CO)C(CC(=O)NC(C(C)C)C(=O)NC1COC(=O)C(N(C(=O)C(NC(=O)C=C1)C(C)C)C)CC2=CC=C(C=C2)O)O,1
10907072,Misc,CC1CC(C2C3C4C(C(C=C(C4C2(C1)C)C)C=C)C(=O)C5=CC(CC6=CC=C(O3)C=C6)(NC5=O)O)C,1
23247773,Misc,CN1C(=CC(=O)N2CC(=CC2=O)OC)C=C(C1=O)COC,1
101467877,Misc,CC1C2(O1)C=NC3CC4(C5CC2C3CO5)C6=C(C=C(C=C6)OC)N(C4=O)OC,1
101467878,Misc,CC=C1C2CC3C4(CC(C2CO3)NC1=O)C5=C(C=C(C=C5)OC)N(C4=O)OC,1
6440352,Misc,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC2=CC=C(C=C2)F)CC(=O)C(C(C)C)NC(=O)C3=NOC(=C3)C,1
155903259,Misc,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,1
146026181,Misc,CC(C)(C)OC(=O)NC1=CC=CN(C1=O)C(CC2CC2)C(=O)NC(CC3CCNC3=O)C(=O)C(=O)NCC4=CC=CC=C4,1
