ID,SMILES
132,Clc1cc2c(N(C(=O)[C@@H](OC(=O)N(C)C)N=C2c2ccccc2)C)cc1
133,O=C1NC(=O)NC(=O)C1([C@@H](CC)C)CC
134,O1[C@@H](CN=C1N)c1ccccc1
135,O=C(C(C[C@H](N1CCCCC1)C)(c1ccccc1)c1ccccc1)CC
136,O[C@@]1([C@@]2([C@H]([C@H]3[C@H](CC2)[C@@H]2C(=CCCC2)CC3)CC1)C)CC
137,S=C1NC(=O)C(Cc2oc(c3c(cccc3)C(F)(F)F)cc2)C(=O)N1
138,O1[C@@H]2[C@]34[C@@]5([C@H](N(CC3)C)Cc3c4c1c(O)cc3)C[C@@H]([C@]2(OC)C=C5)[C@@](O)(CCC)C
139,O[C@@H](C(C[C@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC
140,O([C@]1([C@H](CN(CC1)C)CC)c1ccccc1)C(=O)CC
141,O[C@@H]1[C@@]2([C@H]([C@H]3[C@H](CC2)[C@@H]2C(=C(O)C(=O)CC2)CC3)CC1)C
142,OC(=O)C1(CCN(CC1)CCC(c1ccccc1)(c1ccccc1)C#N)c1ccccc1
143,O=C(N(C[C@H](N(CCc1ccccc1)C)C)c1ccccc1)CC
144,O=C1Nc2c(N(C3CC3)c3ncccc13)nccc2C
145,O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@@H](O)C=C4)C)CC2)CC1)C
146,O(C(=O)C1(CCN(CC1)CCOCCO)c1ccccc1)CC
147,NC1(CCCCC1)c1ccccc1
148,O1c2cc(C[C@H](N)C)ccc2OC1
149,Clc1cc2C(=NCC(=O)Nc2cc1)c1c(Cl)cccc1
150,O1[C@@H]2[C@]34[C@](O)([C@H](N(CC3)C)Cc3c4c1c(O)cc3)CC[C@@H]2O
151,O[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@@H](O)CC4)C)CC2)CC1)C)C
152,O[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)Cc3nonc3C4)C)CC2)CC1)C)C
153,O([C@@H]1[C@@H]([C@@H]2[NH]([C@@H](CC2)C1)C)C(=O)[O])C(=O)c1ccccc1
154,O(c1cc(C[C@H](N)C)cc(OC)c1OC)C
155,Clc1c(/C(=N/OCc2c(Cl)cc(Cl)cc2)/Cn2ccnc2)ccc(Cl)c1
156,O(C(=O)C1(CCN(CC1)CCOCc1ccccc1)c1ccccc1)CC
157,s1c(C2(N3CCCCC3)CCCCC2)ccc1
158,ClC1=C2[C@@]([C@@H]3[C@H]([C@H]4[C@](CC3)([C@@H](O)CC4)C)CC2)(CCC1=O)C
159,O([C@H](C(C[C@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC)C(=O)C
160,Clc1ccc(Cc2n(CCN(CC)CC)c3c(n2)cc(N(=O)=O)cc3)cc1
